"DATEKEY","DAY","MONTH","YEAR","QUARTER","DAYOFWEEK","MONTHNAME","ISWEEKEND"
01-JUL-2022,1,7,2022,3,"Friday   ","July     ","N"
02-JUL-2022,2,7,2022,3,"Saturday ","July     ","Y"
03-JUL-2022,3,7,2022,3,"Sunday   ","July     ","Y"
04-JUL-2022,4,7,2022,3,"Monday   ","July     ","N"
05-JUL-2022,5,7,2022,3,"Tuesday  ","July     ","N"
06-JUL-2022,6,7,2022,3,"Wednesday","July     ","N"
07-JUL-2022,7,7,2022,3,"Thursday ","July     ","N"
08-JUL-2022,8,7,2022,3,"Friday   ","July     ","N"
09-JUL-2022,9,7,2022,3,"Saturday ","July     ","Y"
10-JUL-2022,10,7,2022,3,"Sunday   ","July     ","Y"
11-JUL-2022,11,7,2022,3,"Monday   ","July     ","N"
12-JUL-2022,12,7,2022,3,"Tuesday  ","July     ","N"
13-JUL-2022,13,7,2022,3,"Wednesday","July     ","N"
14-JUL-2022,14,7,2022,3,"Thursday ","July     ","N"
15-JUL-2022,15,7,2022,3,"Friday   ","July     ","N"
16-JUL-2022,16,7,2022,3,"Saturday ","July     ","Y"
17-JUL-2022,17,7,2022,3,"Sunday   ","July     ","Y"
18-JUL-2022,18,7,2022,3,"Monday   ","July     ","N"
19-JUL-2022,19,7,2022,3,"Tuesday  ","July     ","N"
20-JUL-2022,20,7,2022,3,"Wednesday","July     ","N"
21-JUL-2022,21,7,2022,3,"Thursday ","July     ","N"
22-JUL-2022,22,7,2022,3,"Friday   ","July     ","N"
23-JUL-2022,23,7,2022,3,"Saturday ","July     ","Y"
24-JUL-2022,24,7,2022,3,"Sunday   ","July     ","Y"
25-JUL-2022,25,7,2022,3,"Monday   ","July     ","N"
26-JUL-2022,26,7,2022,3,"Tuesday  ","July     ","N"
27-JUL-2022,27,7,2022,3,"Wednesday","July     ","N"
28-JUL-2022,28,7,2022,3,"Thursday ","July     ","N"
29-JUL-2022,29,7,2022,3,"Friday   ","July     ","N"
30-JUL-2022,30,7,2022,3,"Saturday ","July     ","Y"
31-JUL-2022,31,7,2022,3,"Sunday   ","July     ","Y"
01-AUG-2022,1,8,2022,3,"Monday   ","August   ","N"
02-AUG-2022,2,8,2022,3,"Tuesday  ","August   ","N"
03-AUG-2022,3,8,2022,3,"Wednesday","August   ","N"
04-AUG-2022,4,8,2022,3,"Thursday ","August   ","N"
05-AUG-2022,5,8,2022,3,"Friday   ","August   ","N"
06-AUG-2022,6,8,2022,3,"Saturday ","August   ","Y"
07-AUG-2022,7,8,2022,3,"Sunday   ","August   ","Y"
08-AUG-2022,8,8,2022,3,"Monday   ","August   ","N"
09-AUG-2022,9,8,2022,3,"Tuesday  ","August   ","N"
10-AUG-2022,10,8,2022,3,"Wednesday","August   ","N"
11-AUG-2022,11,8,2022,3,"Thursday ","August   ","N"
12-AUG-2022,12,8,2022,3,"Friday   ","August   ","N"
13-AUG-2022,13,8,2022,3,"Saturday ","August   ","Y"
14-AUG-2022,14,8,2022,3,"Sunday   ","August   ","Y"
15-AUG-2022,15,8,2022,3,"Monday   ","August   ","N"
16-AUG-2022,16,8,2022,3,"Tuesday  ","August   ","N"
17-AUG-2022,17,8,2022,3,"Wednesday","August   ","N"
18-AUG-2022,18,8,2022,3,"Thursday ","August   ","N"
19-AUG-2022,19,8,2022,3,"Friday   ","August   ","N"
20-AUG-2022,20,8,2022,3,"Saturday ","August   ","Y"
21-AUG-2022,21,8,2022,3,"Sunday   ","August   ","Y"
22-AUG-2022,22,8,2022,3,"Monday   ","August   ","N"
23-AUG-2022,23,8,2022,3,"Tuesday  ","August   ","N"
24-AUG-2022,24,8,2022,3,"Wednesday","August   ","N"
25-AUG-2022,25,8,2022,3,"Thursday ","August   ","N"
26-AUG-2022,26,8,2022,3,"Friday   ","August   ","N"
27-AUG-2022,27,8,2022,3,"Saturday ","August   ","Y"
28-AUG-2022,28,8,2022,3,"Sunday   ","August   ","Y"
29-AUG-2022,29,8,2022,3,"Monday   ","August   ","N"
30-AUG-2022,30,8,2022,3,"Tuesday  ","August   ","N"
31-AUG-2022,31,8,2022,3,"Wednesday","August   ","N"
01-SEP-2022,1,9,2022,3,"Thursday ","September","N"
02-SEP-2022,2,9,2022,3,"Friday   ","September","N"
03-SEP-2022,3,9,2022,3,"Saturday ","September","Y"
04-SEP-2022,4,9,2022,3,"Sunday   ","September","Y"
05-SEP-2022,5,9,2022,3,"Monday   ","September","N"
06-SEP-2022,6,9,2022,3,"Tuesday  ","September","N"
07-SEP-2022,7,9,2022,3,"Wednesday","September","N"
08-SEP-2022,8,9,2022,3,"Thursday ","September","N"
09-SEP-2022,9,9,2022,3,"Friday   ","September","N"
10-SEP-2022,10,9,2022,3,"Saturday ","September","Y"
11-SEP-2022,11,9,2022,3,"Sunday   ","September","Y"
12-SEP-2022,12,9,2022,3,"Monday   ","September","N"
13-SEP-2022,13,9,2022,3,"Tuesday  ","September","N"
14-SEP-2022,14,9,2022,3,"Wednesday","September","N"
15-SEP-2022,15,9,2022,3,"Thursday ","September","N"
16-SEP-2022,16,9,2022,3,"Friday   ","September","N"
17-SEP-2022,17,9,2022,3,"Saturday ","September","Y"
18-SEP-2022,18,9,2022,3,"Sunday   ","September","Y"
19-SEP-2022,19,9,2022,3,"Monday   ","September","N"
20-SEP-2022,20,9,2022,3,"Tuesday  ","September","N"
21-SEP-2022,21,9,2022,3,"Wednesday","September","N"
22-SEP-2022,22,9,2022,3,"Thursday ","September","N"
